name, original price, discount, final price, base clock, boost clock, VRAM, bandwidth, link
EVGA GeForce RTX 2080 TI FTW3 ULTRA HYBRID GAMING | 11G-P4-2484-KR | 11GB GDDR6 | RGB LED Logo | iCX2 Technology | Metal Backplate,$1449.99,$0.0,$1449.99,14000MHz Memory Clock,1755MHz Boost Clock,11264MB GDDR6 Memory,616GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=11G-P4-2484-KR
EVGA GeForce RTX 2080 Ti FTW3 ULTRA HYDRO COPPER GAMING | 11G-P4-2489-KR | 11GB GDDR6 | RGB LED | iCX2 Technology | Metal Backplate,$1599.99,$0.0,$1599.99,14000MHz Memory Clock,1755MHz Boost Clock,11264MB GDDR6 Memory,616GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=11G-P4-2489-KR
EVGA GeForce RTX 2070 SUPER FTW3 GAMING | 08G-P4-3273-KR | 8GB GDDR6 | iCX2 Technology | RGB LED | Metal Backplate,$579.99,$0.0,$579.99,14000MHz Memory Clock,1770MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3273-KR
EVGA GeForce RTX 2070 SUPER FTW3 ULTRA | OVERCLOCKED | 2.75 Slot Extreme Cool Triple + iCX2 | 65C Gaming | RGB | Metal Backplate | 08G-P4-3277-KR | 8GB GDDR6,$569.99,$0.0,$569.99,14000MHz Memory Clock,1815MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3277-KR
EVGA GeForce RTX 2070 SUPER FTW3 ULTRA SHIELD EDITION | OVERCLOCKED | 2.75 Slot Extreme Cool Triple + iCX2 | 65C Gaming | RGB | Metal Backplate | 08G-P4-3277-KS | 8GB GDDR6,$619.99,$0.0,$619.99,14000MHz Memory Clock,1815MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3277-KS
EVGA GeForce RTX 2070 SUPER FTW3 ULTRA+ | OVERCLOCKED | 2.75 Slot Extreme Cool Triple + iCX2 | 65C Gaming | RGB | Metal Backplate | 08G-P4-3377-KR | 8GB 15.5GHz GDDR6,$589.99,$0.0,$589.99,15500MHz Memory Clock,1815MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3377-KR
EVGA GeForce RTX 2080 FTW3 ULTRA | OVERCLOCKED | 2.75 Slot Extreme Cool Triple + iCX2 | 65C Gaming | RGB | Metal Backplate | 08G-P4-2287-KR | 8GB GDDR6,$749.99,$0.0,$749.99,14000MHz Memory Clock,1860MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-2287-KR
EVGA GeForce RTX 2080 SUPER FTW3 | 2.75 Slot Extreme Cool Triple + iCX2 | 65C Gaming | RGB | Metal Backplate | 08G-P4-3283-KR | 8GB GDDR6,$789.99,$0.0,$789.99,15500MHz Memory Clock,1815MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3283-KR
EVGA GeForce RTX 2080 SUPER FTW3 ULTRA | OVERCLOCKED | 2.75 Slot Extreme Cool Triple + iCX2 | 65C Gaming | RGB | Metal Backplate | 08G-P4-3287-KR | 8GB GDDR6,$769.99,$0.0,$769.99,15500MHz Memory Clock,1845MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3287-KR
EVGA GeForce RTX 2080 SUPER FTW3 ULTRA SHIELD EDITION | OVERCLOCKED | 2.75 Slot Extreme Cool Triple + iCX2 | 65C Gaming | RGB | Metal Backplate | 08G-P4-3287-KS | 8GB GDDR6,$829.99,$0.0,$829.99,15500MHz Memory Clock,1845MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3287-KS
EVGA GeForce RTX 2080 Ti FTW3 GAMING | 11G-P4-2483-KR | 11GB GDDR6 | iCX2 Technology | RGB LED | Metal Backplate,$1299.99,$0.0,$1299.99,14000MHz Memory Clock,1545MHz Boost Clock,11264MB GDDR6 Memory,616GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=11G-P4-2483-KR
EVGA GeForce RTX 2080 Ti FTW3 ULTRA | OVERCLOCKED | 2.75 Slot Extreme Cool Triple + iCX2 | 65C Gaming | RGB | Metal Backplate | 11G-P4-2487-KR | 11GB GDDR6,$1449.99,$0.0,$1449.99,14000MHz Memory Clock,1755MHz Boost Clock,11264MB GDDR6 Memory,616GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=11G-P4-2487-KR
EVGA GeForce RTX 2080 Ti FTW3 ULTRA SHIELD EDITION | OVERCLOCKED | 2.75 Slot Extreme Cool Triple + iCX2 | 65C Gaming | RGB | Metal Backplate | 11G-P4-2487-KS | 11GB GDDR6,$1529.99,$0.0,$1529.99,14000MHz Memory Clock,1755MHz Boost Clock,11264MB GDDR6 Memory,616GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=11G-P4-2487-KS
EVGA GeForce GTX 1650 XC BLACK GAMING | 04G-P4-1151-KR | 4GB GDDR5,$159.99,$0.0,$159.99,8000MHz Memory Clock,1665MHz Boost Clock,4096MB GDDR5 Memory,128GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=04G-P4-1151-KR
EVGA GeForce GTX 1650 XC | OVERCLOCKED | 2.75 Slot Extreme Cool | 65C Gaming | 04G-P4-1153-KR | 4GB GDDR5,$159.99,$0.0,$159.99,8000MHz Memory Clock,1860MHz Boost Clock,4096MB GDDR5 Memory,128GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=04G-P4-1153-KR
EVGA GeForce GTX 1650 XC ULTRA BLACK GAMING | 04G-P4-1155-KR | 4GB GDDR5 | Metal Backplate,$169.99,$0.0,$169.99,8000MHz Memory Clock,1665MHz Boost Clock,4096MB GDDR5 Memory,128GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=04G-P4-1155-KR
EVGA GeForce GTX 1650 XC ULTRA | OVERCLOCKED | 2.75 Slot Extreme Cool Dual | 60C Gaming | 04G-P4-1157-KR | 4GB GDDR5,$169.99,$0.0,$169.99,8000MHz Memory Clock,1875MHz Boost Clock,4096MB GDDR5 Memory,128GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=04G-P4-1157-KR
EVGA GeForce GTX 1660 XC BLACK GAMING | 06G-P4-1161-KR | 6GB GDDR5 | HDB Fan,$229.99,$0.0,$229.99,8000MHz Memory Clock,1785MHz Boost Clock,6144MB GDDR5 Memory,192GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-1161-KR
EVGA GeForce GTX 1660 XC | OVERCLOCKED | 2.75 Slot Extreme Cool | 65C Gaming | 06G-P4-1163-KR | 6GB GDDR5,$219.99,$0.0,$219.99,8000MHz Memory Clock,1830MHz Boost Clock,6144MB GDDR5 Memory,192GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-1163-KR
EVGA GeForce GTX 1660 XC ULTRA BLACK GAMING | 06G-P4-1165-KR | 6GB GDDR5 | Dual HDB Fan,$239.99,$0.0,$239.99,8000MHz Memory Clock,1785MHz Boost Clock,6144MB GDDR5 Memory,192GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-1165-KR
EVGA GeForce GTX 1660 XC ULTRA GAMING | 06G-P4-1167-KR | 6GB GDDR5 | Dual HDB Fan,$229.99,$0.0,$229.99,8000MHz Memory Clock,1845MHz Boost Clock,6144MB GDDR5 Memory,192GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-1167-KR
EVGA GeForce GTX 1660 Ti XC BLACK GAMING | 06G-P4-1261-KR | 6GB GDDR6 | HDB Fan,$259.99,$0.0,$259.99,12000MHz Memory Clock,1770MHz Boost Clock,6144MB GDDR6 Memory,288GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-1261-KR
EVGA GeForce GTX 1660 Ti XC | OVERCLOCKED | 2.75 Slot Extreme Cool | 65C Gaming | 06G-P4-1263-KR | 6GB GDDR6,$269.99,$0.0,$269.99,12000MHz Memory Clock,1845MHz Boost Clock,6144MB GDDR6 Memory,288GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-1263-KR
EVGA GeForce GTX 1660 Ti XC ULTRA GAMING | 06G-P4-1267-KR | 6GB GDDR6 | Dual HDB Fans,$289.99,$0.0,$289.99,12000MHz Memory Clock,1860MHz Boost Clock,6144MB GDDR6 Memory,288GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-1267-KR
EVGA GeForce RTX 2060 XC BLACK GAMING | 2.75 Slot Extreme Cool | 70C Gaming | 06G-P4-2061-KR | 6GB GDDR6,$339.99,$0.0,$339.99,14000MHz Memory Clock,1680MHz Boost Clock,6144MB GDDR6 Memory,336GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-2061-KR
EVGA GeForce RTX 2060 XC | OVERCLOCKED | 2.75 Slot Extreme Cool | 70C Gaming | 06G-P4-2063-KR | 6GB GDDR6,$349.99,$0.0,$349.99,14000MHz Memory Clock,1755MHz Boost Clock,6144MB GDDR6 Memory,336GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-2063-KR
EVGA GeForce RTX 2060 XC ULTRA BLACK GAMING | 06G-P4-2163-KR | 6GB GDDR6 | Dual HDB Fans,$359.99,$0.0,$359.99,14000MHz Memory Clock,1680MHz Boost Clock,6144MB GDDR6 Memory,336GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-2163-KR
EVGA GeForce RTX 2060 XC ULTRA GAMING | 06G-P4-2167-KR | 6GB GDDR6 | Dual HDB Fans,$369.99,$0.0,$369.99,14000MHz Memory Clock,1830MHz Boost Clock,6144MB GDDR6 Memory,336GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=06G-P4-2167-KR
EVGA GeForce RTX 2060 SUPER XC BLACK GAMING | 08G-P4-3161-KR | 8GB GDDR6 | Dual HDB Fans | RGB LED | Metal Backplate,$449.99,$0.0,$449.99,14000MHz Memory Clock,1650MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3161-KR
EVGA GeForce RTX 2060 SUPER XC GAMING | 08G-P4-3162-KR | 8GB GDDR6 | Dual HDB Fans | RGB LED | Metal Backplate,$439.99,$0.0,$439.99,14000MHz Memory Clock,1695MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3162-KR
EVGA GeForce RTX 2060 SUPER XC GAMING | 08G-P4-3162-KP | 8GB GDDR6 | Dual HDB Fans | RGB LED | Metal Backplate + PowerLink,$469.99,$0.0,$469.99,14000MHz Memory Clock,1695MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3162-KP
EVGA GeForce RTX 2060 SUPER XC ULTRA | OVERCLOCKED | 2.75 Slot Extreme Cool Dual | 65C Gaming | RGB | Metal Backplate | 08G-P4-3163-KR | 8GB GDDR6,$439.99,$0.0,$439.99,14000MHz Memory Clock,1695MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3163-KR
EVGA GeForce RTX 2070 SUPER XC GAMING | 08G-P4-3172-KR | 8GB GDDR6 | Dual HDB Fans | RGB LED | Metal Backplate,$519.99,$0.0,$519.99,14000MHz Memory Clock,1800MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3172-KR
EVGA GeForce RTX 2070 SUPER XC ULTRA | OVERCLOCKED | 2.75 Slot Extreme Cool Dual | 70C Gaming | RGB | Metal Backplate | 08G-P4-3173-KR | 8GB GDDR6,$529.99,$0.0,$529.99,14000MHz Memory Clock,1800MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3173-KR
EVGA GeForce RTX 2070 SUPER XC GAMING | 08G-P4-3172-KP | 8GB GDDR6 | Dual HDB Fans | RGB LED | Metal Backplate + PowerLink,$559.99,$0.0,$559.99,14000MHz Memory Clock,1800MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3172-KP
EVGA GeForce RTX 2070 SUPER XC ULTRA+ | OVERCLOCKED | 2.75 Slot Extreme Cool Dual | 70C Gaming | RGB | Metal Backplate | 08G-P4-3175-KR | 8GB 15.5GHz GDDR6,$559.99,$0.0,$559.99,15500MHz Memory Clock,1800MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3175-KR
EVGA GeForce RTX 2070 XC ULTRA | OVERCLOCKED | 2.75 Slot Extreme Cool Dual | 65C Gaming | RGB | Metal Backplate | 08G-P4-2173-KR | 8GB GDDR6,$599.99,$0.0,$599.99,14000MHz Memory Clock,1725MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-2173-KR
EVGA GeForce RTX 2080 XC BLACK EDITION GAMING | 08G-P4-2082-KR | 8GB GDDR6 | Dual HDB Fans | RGB LED | Metal Backplate,$749.99,$0.0,$749.99,14000MHz Memory Clock,1740MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-2082-KR
EVGA GeForce RTX 2080 SUPER XC GAMING | 08G-P4-3182-KR | 8GB GDDR6 | RGB LED | Metal Backplate,$719.99,$0.0,$719.99,15500MHz Memory Clock,1830MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3182-KR
